payload_bytes,timed_observations,independent_repetitions,latency_mean_us,latency_median_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_mean_95_ci_low_us,latency_mean_95_ci_high_us,effective_payload_bandwidth_gb_s,bandwidth_mean_gb_s,bandwidth_median_gb_s,bandwidth_std_gb_s,bandwidth_p50_gb_s,bandwidth_p95_gb_s,bandwidth_p99_gb_s,bandwidth_mean_95_ci_low_gb_s,bandwidth_mean_95_ci_high_gb_s
1024,500,5,123.02822399139404,103.66399958729744,74.57373018143413,103.4879982471466,176.15999281406403,202.81599462032318,98.54280623901518,147.5136417437729,0.008323293361299191,0.009340713562132162,0.00987809611640339,0.0024805388878721656,0.009861325027485855,0.012733784103087365,0.0131578953211761,0.007900911108036326,0.010780516016227995
4096,500,5,122.29830400645733,95.51999717950821,97.89831507985075,95.51999717950821,204.70400154590607,303.1040132045746,89.22079865653947,155.37580935637519,0.033491879002539,0.03891419648115407,0.04288107329298278,0.010656180348267187,0.04288107329298278,0.05013709135971266,0.05128205305591163,0.03170072905003385,0.0461276639122743
16384,500,5,129.93664020299911,108.88000205159187,76.48363530956031,108.83200168609619,198.71999323368073,247.8400021791458,102.57707150707566,157.29620889892257,0.12609222444418594,0.14196058878209944,0.1504776164178292,0.041476630935374154,0.1504112775084714,0.19541985280766216,0.20422816135878738,0.11764549434027685,0.16627568322392203
65536,500,5,138.83174419403076,100.38399696350098,290.0827026057174,100.38399696350098,174.40000176429749,281.0559868812561,105.34895134573989,172.31453704232163,0.47205342251126026,0.6110365142546668,0.6528530640578946,0.11861728072595586,0.6528530640578946,0.7188487086446118,0.7311674642737117,0.5717942073070144,0.650278821202319
262144,500,5,182.04851230978966,166.4159968495369,142.0702325128967,166.4000004529953,232.96000063419342,280.9920012950897,164.6126044291272,199.4844201904521,1.439967823268519,1.515082519241178,1.5752331950342842,0.19236434897487642,1.5750817789726657,1.7006435100879904,1.7515501427615754,1.4193395773113455,1.6108254611710107
1048576,500,5,382.39852821826935,354.68800365924835,225.46411764452836,354.65601086616516,395.26399970054626,1896.0319757461548,351.06621893063414,413.73083750590456,2.7421026040180863,2.9056937957797606,2.956333447179672,0.3077941856215419,2.9560667864432366,3.1009746928126787,3.1261209134985974,2.820076562834924,2.9913110287245965
4194304,500,5,1126.3678064346313,1120.736002922058,72.264571615055,1120.6719875335693,1156.4160585403442,1407.7119827270508,1114.630971236174,1138.1046416330887,3.72374279168766,3.73392957595104,3.742454960622851,0.16214898863070099,3.74224119510842,3.886033003411177,3.938461527739756,3.705672363655621,3.762186788246459
16777216,500,5,4196.604681015015,4208.816051483154,42.751033677507756,4208.735942840576,4240.608215332031,4254.111766815186,4187.22207862687,4205.987283403159,3.9978071024650736,3.9982286294679463,3.9862079503726022,0.04146559132026652,3.986132078748841,4.100099936412299,4.1358073730039395,3.9892213573535242,4.007235901582368
33554432,500,5,8344.96184539795,8361.632347106934,63.28052776375839,8361.568450927734,8418.111801147461,8450.431823730469,8332.73701883201,8357.18667196389,4.020920960651783,4.021154191730668,4.0129044914978795,0.03082030715666677,4.0128738265207735,4.088031652727336,4.12213356218587,4.015301987963514,4.027006395497822
67108864,500,5,16649.263969421387,16666.768074035645,74.68205861713048,16666.624069213867,16736.064910888672,16772.768020629883,16631.95085642642,16666.577082416352,4.030740585485008,4.030822065585415,4.026507341249657,0.01820163555145877,4.02647255127301,4.070566862880939,4.097024307756119,4.026633544166604,4.035010587004226
