capacity_crossover_concurrency,criterion,latency_crossover_concurrency,model_id,model_revision,observed_concurrency,principal_grid_complete,resource_boundary_concurrency,throughput_crossover_concurrency,workload
,first robust favorable point sustained through all higher frozen concurrency points,64,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,"[1, 4, 8, 16, 32, 64]",True,,64,balanced
,first robust favorable point sustained through all higher frozen concurrency points,,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,"[1, 4, 8, 16, 32, 64]",True,64,,prefill_heavy
,first robust favorable point sustained through all higher frozen concurrency points,,Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,"[1, 4, 8, 16, 32, 64]",True,,,short
,first robust favorable point sustained through all higher frozen concurrency points,16,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,"[1, 4, 8, 16, 32, 64]",True,,16,balanced
,first robust favorable point sustained through all higher frozen concurrency points,4,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,"[1, 4, 8, 16, 32, 64]",True,,4,prefill_heavy
,first robust favorable point sustained through all higher frozen concurrency points,32,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,"[1, 4, 8, 16, 32, 64]",True,,32,short
,first robust favorable point sustained through all higher frozen concurrency points,32,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,"[1, 4, 8, 16, 32, 64]",True,,32,balanced
,first robust favorable point sustained through all higher frozen concurrency points,4,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,"[1, 4, 8, 16, 32, 64]",True,,4,prefill_heavy
,first robust favorable point sustained through all higher frozen concurrency points,64,microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,"[1, 4, 8, 16, 32, 64]",True,,64,short
,first robust favorable point sustained through all higher frozen concurrency points,16,mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,"[1, 4, 8, 16, 32, 64]",True,,16,balanced
,first robust favorable point sustained through all higher frozen concurrency points,4,mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,"[1, 4, 8, 16, 32, 64]",True,,4,prefill_heavy
,first robust favorable point sustained through all higher frozen concurrency points,32,mistralai/Ministral-3-3B-Instruct-2512-BF16,b6d637bef2393152b3da2b2fde72eecdee30557e,"[1, 4, 8, 16, 32, 64]",True,,32,short
