model_id,model_revision,workload,concurrency,tp,repetitions,maximum_vram_mib_mean,maximum_system_ram_bytes_mean,gpu_utilization_percent_mean,mean_power_w,maximum_temperature_c_mean,request_failures_mean,oom_repetitions,resource_boundary_repetitions
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,1,1,5,13643.0,5549600768.0,58.806379060095914,50.582317402568535,78.6,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,1,2,5,13751.0,7492959436.8,49.80330761603714,47.37935079312981,80.0,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,4,1,5,13711.0,4484627660.8,45.596586851400005,43.6855610554722,78.4,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,4,2,5,13753.0,7447355392.0,37.18283919969842,38.526503084935904,77.8,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,8,1,5,13731.0,4471194419.2,43.25426856352279,40.17910718897419,77.4,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,8,2,5,13797.0,7402857267.2,33.252523030872204,35.98265216481525,77.0,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,16,1,5,13731.0,4494683340.8,50.36609567684227,43.09891825230314,78.2,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,16,2,5,13796.6,7448617779.2,35.7109719600053,38.13066402183384,78.0,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,32,1,5,13734.2,4469453619.2,60.53653419542108,47.56080511813036,78.6,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,32,2,5,13797.8,7433581363.2,41.34693029485759,41.68118249699671,78.6,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,64,1,5,13979.4,4482488729.6,70.44254643526361,52.872832009968455,79.6,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,balanced,64,2,5,14771.8,7443991756.8,50.459548848642505,45.233849144371035,79.2,0.0,0,0
Qwen/Qwen2.5-3B-Instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,prefill_heavy,1,1,5,13729.0,4857595494.4,56.56003449408588,48.26106449934446,78.0,0.0,0,0
